epoch|accuracy|loss|val_accuracy|val_loss
0|0.67882717|150.34605545588798|0.7796323299407959|10.837673726148749
1|0.6944068|4.7856071791059165|0.7503628730773926|0.7280505498538689
2|0.7212599|0.6447624006884135|0.7989840507507324|0.49866973270986986
3|0.7509677|0.5124386387785422|0.8265602588653564|0.425494074518691
4|0.77738535|0.453193155379228|0.8500241637229919|0.3610093573988724
5|0.7983356|0.4153278189723349|0.8161587119102478|0.40341712448639633
6|0.80806077|0.3984918796060993|0.881954550743103|0.2767176036103428
7|0.82122123|0.3518416255522171|0.8921141624450684|0.26375145573632175
8|0.8496226|0.343729753650686|0.9063860774040222|0.29532672632819046
9|0.8650571|0.3294165709221965|0.9134010672569275|0.2520908290023785
10|0.8737662|0.3145577224594771|0.9046927690505981|0.2696476953007717
11|0.8786046|0.3132555396524093|0.9201741814613342|0.23390104710680884
12|0.8843623|0.2901941136589866|0.9194484949111938|0.23217624619091312
13|0.8907974|0.28201276580427287|0.9192065596580505|0.2576622861736226
14|0.895539|0.26744284018663644|0.9221093654632568|0.21798045798436883
15|0.90231276|0.27519372661904623|0.9349298477172852|0.20202966052435076
16|0.9057964|0.24707688822929924|0.9325109124183655|0.19918581862119758
17|0.91286045|0.2519581569465051|0.9172714352607727|0.22981058864934928
18|0.9136346|0.24025581168879248|0.9310594797134399|0.18684767232058874
19|0.91765046|0.24744272202928178|0.9431543350219727|0.1643308188295849
20|0.918473|0.23401549215101747|0.9421867728233337|0.16916176130302182
21|0.9227308|0.23421145291526382|0.9317851662635803|0.21419003990807278
22|0.92432743|0.22706419461373784|0.94121915102005|0.18312962884538464
23|0.9251016|0.21038185456273448|0.9446057081222534|0.17105820326627483
24|0.9248113|0.29451563957814025|0.9458152055740356|0.16269199832026718
25|0.9291175|0.21263487903804643|0.9441218972206116|0.17572990205475947
26|0.9285369|0.2316856342604849|0.9472665786743164|0.16137844116490535
27|0.9315851|0.21450211243707207|0.9467827677726746|0.16616169415526075
28|0.93279463|0.2036075043261847|0.9484760761260986|0.191553029508826
29|0.9331817|0.215625966762652|0.9467827677726746|0.15576445283552962
30|0.93526226|0.20116737083203332|0.9489598274230957|0.162912746587697
31|0.932843|0.20538884844289934|0.9521045088768005|0.15480057456150803
32|0.9349235|0.2338698798870242|0.9472665786743164|0.18233928717330394
33|0.9378266|0.22722756385641724|0.9513788223266602|0.16423797042230276
34|0.93729436|0.1999935592431521|0.9499274492263794|0.1669841850790126
35|0.9401006|0.18895662886701425|0.9516206979751587|0.1605726392821638
36|0.93937486|0.19149772014929614|0.9535558819770813|0.18913597338546806
37|0.94039094|0.21328343290100943|0.9501693248748779|0.1648296617804141
38|0.9416489|0.17758803583936808|0.9533140063285828|0.15862426650541442
39|0.9423747|0.1879762629227641|0.9523463845252991|0.1472598228641449
40|0.94368106|0.17267626033130135|0.9535558819770813|0.1665237071609866
41|0.9429553|0.17338386413776277|0.9542815685272217|0.1559110211472495
42|0.94513255|0.17664118558427963|0.9528301954269409|0.1504542474073088
43|0.94426167|0.19008554689238652|0.9501693248748779|0.17913202309181683
44|0.94677764|0.1768531923915723|0.949201762676239|0.20130036208268579
45|0.945568|0.17783665923372513|0.9525883197784424|0.17905936378987444
46|0.9465841|0.17715926395842016|0.9533140063285828|0.15582253653817438
47|0.9450842|0.16925743449488714|0.9528301954269409|0.1691533015382192
48|0.9485678|0.17628496067422905|0.9523463845252991|0.15462020381268637
49|0.9475034|0.16353325937711133|0.9528301954269409|0.18716465711708974
50|0.9486162|0.15988660527049675|0.9525883197784424|0.16293528631336746
51|0.94585836|0.1626994217448016|0.9547653794288635|0.15540737173207786
52|0.94730985|0.1672597452464638|0.9537977576255798|0.18684831381305497
53|0.948084|0.16243347558617385|0.9542815685272217|0.16118672243569518
54|0.9475518|0.16646849507805178|0.9562167525291443|0.1555124238948056
55|0.9502613|0.1669323901869883|0.9533140063285828|0.1848238523766564
56|0.94997096|0.1554682400125887|0.9533140063285828|0.19921291358931145
57|0.951229|0.1617772281501541|0.9533140063285828|0.1599390479061531
58|0.95035803|0.15698635836265432|0.9494436383247375|0.21322509330658157
59|0.9529224|0.15079424287298326|0.9516206979751587|0.15758190612949838
60|0.95147085|0.15062214327153833|0.9550072550773621|0.1578891646417951
61|0.9507935|0.15742355509539835|0.9545234441757202|0.15953117831063604
62|0.9532127|0.1695866585989074|0.9547653794288635|0.17112461945026694
63|0.95301914|0.14635178934727228|0.9552491307258606|0.1738249613111816
64|0.9519063|0.14471582038382486|0.9482341408729553|0.179418344513829
65|0.95369655|0.14236398174629142|0.9523463845252991|0.16590087812882318
66|0.9501161|0.14396059728664287|0.9508950114250183|0.16781648712338143
67|0.95572865|0.1475270141009115|0.9552491307258606|0.19604323979559068
68|0.9540836|0.1482465769601717|0.9518625736236572|0.21234829888922843
69|0.9544223|0.14465958679728289|0.9489598274230957|0.18626124583757842
70|0.9523902|0.14432283386498695|0.9545234441757202|0.17175148224911368
71|0.954132|0.13949299589713676|0.9557329416275024|0.1921276959983058
72|0.95698667|0.12948586354553066|0.9508950114250183|0.20843095461066125
73|0.952874|0.1428361215246746|0.9530720710754395|0.1672455964598266
74|0.95480937|0.12901717035641677|0.9533140063285828|0.19035272732067063
75|0.9555835|0.12779548346927094|0.9516206979751587|0.2162782717973758
76|0.95572865|0.1286334768557701|0.9518625736236572|0.15462105621389566
77|0.9561641|0.12907670088038814|0.949201762676239|0.20195083688524648
78|0.957035|0.12227215581269474|0.9540396928787231|0.17502421728931422
79|0.9575673|0.12934763562161342|0.9545234441757202|0.1917097229397003
80|0.95727694|0.1285176557548761|0.9545234441757202|0.20210405461847003
81|0.95843816|0.12144609718349747|0.9506531357765198|0.23630599942135821
82|0.9586317|0.11585398543808477|0.949201762676239|0.22525346325282378
83|0.95780915|0.13018845905787205|0.9550072550773621|0.19066594231803463
84|0.9571802|0.12178284902855947|0.9545234441757202|0.19562365005831817
85|0.9582446|0.11973317581904287|0.9542815685272217|0.22458065478883624
86|0.9595994|0.11279785340370328|0.9494436383247375|0.22829311555517315
87|0.9602768|0.11762849155698821|0.9554910659790039|0.2055868024000178
88|0.95795435|0.11810874644517667|0.9511368870735168|0.22235199326066274
89|0.9613896|0.10816073012618463|0.9518625736236572|0.22878548737937954
90|0.95950264|0.11665660585434497|0.9533140063285828|0.23513379706007648
